Category	Sub-Category
Fashion/Clothing	Men's, Women's, Accessories, Shoes, Bags, Activewear, Outerwear, Casual Wear, Formal Wear, Seasonal Wear, Swimwear, Sportswear, Jackets, Trousers, Dresses
Food & Beverage	Restaurant, Café, Grocery, Fast Food, Bakery, Organic Foods, International Cuisine, Health Foods, Drinks, Snacks, Vegan Options, Frozen Foods, Deli, Condiments, Canned Goods
Electronics & Gadgets	Mobile Phones, Computers, Tablets, Cameras, Accessories, Smartwatches, Audio Equipment, Wearables, Gaming Consoles, Home Assistants, Laptops, Headphones, Chargers, Batteries, Bluetooth Speakers
Home & Garden	Furniture, Decor, Kitchenware, Bedding, Gardening Tools, Lighting, Storage Solutions, Rugs, Curtains, Outdoor Furniture, Appliances, Tableware, Wall Art, Planters, Cleaning Supplies
Health & Beauty	Skincare, Wellness Products, Cosmetics, Haircare, Personal Care, Fragrances, Oral Care, Bath Products, Men's Grooming, Anti-Aging Products, Body Care, Nail Care, Supplements, Sun Care, Shaving Products
Automotive	Parts, Services, Tires, Car Accessories, Car Wash, Oils & Fluids, Lighting, Batteries, Interior Accessories, Exterior Accessories, Maintenance Tools, Seat Covers, Car Electronics, Roof Racks, Detailing Products
Sports & Fitness	Equipment, Apparel, Footwear, Supplements, Outdoor Gear, Fitness Trackers, Yoga Gear, Sports Nutrition, Exercise Machines, Camping Gear, Swimming Gear, Hiking Gear, Team Sports Gear, Recovery Tools, Cycling Gear
Pets	Pet Food, Supplies, Toys, Grooming, Veterinary Services, Pet Bedding, Training Aids, Pet Clothing, Carriers, Health Supplements, Leashes, Pet Houses, Aquariums, Pet Gates, Pet Travel Accessories
Books & Media	Books, Magazines, Music, DVDs, Stationery, E-Books, Audiobooks, Textbooks, Graphic Novels, Reference Books, Journals, Comics, Newspapers, Photo Books, Book Sets
Gifts & Specialty	Flowers, Souvenirs, Personalized Gifts, Cards, Gift Baskets, Gift Cards, Party Supplies, Specialty Foods, Handcrafted Items, Experiences, Gourmet Treats, Luxury Gifts, Eco-Friendly Gifts, Tech Gadgets, Subscription Boxes
Jewelry & Accessories	Rings, Necklaces, Bracelets, Watches, Earrings, Brooches, Anklets, Cufflinks, Charms, Jewelry Sets, Pins, Hair Accessories, Keychains, Bracelets, Pendants
Baby & Kids	Clothing, Toys, Nursery Furniture, Baby Gear, Diapers, Bedding, Feeding Supplies, Safety Gear, Activity Centers, Educational Toys, Baby Monitors, Strollers, Car Seats, High Chairs, Playmats
Office Supplies	Printers, Paper, Writing Tools, Office Furniture, Storage Solutions, Desk Accessories, Filing Systems, Office Electronics, Office Decor, Organizers, Calendars, Whiteboards, Tape & Adhesives, Shredders, Notebooks
Travel & Lodging	Hotels, Flights, Car Rentals, Cruises, Travel Accessories, Hostels, Vacation Packages, Travel Insurance, Luxury Resorts, B&Bs, Tour Packages, Travel Guides, Camping Sites, Travel Clothing, Souvenirs
Entertainment & Events	Movie Tickets, Concerts, Theater, Sports Events, Amusement Parks, Festivals, Live Performances, Exhibitions, Comedy Shows, Family Events, Art Shows, Music Festivals, Opera, Dance Shows, Workshops
Furniture	Living Room Furniture, Bedroom Furniture, Office Furniture, Outdoor Furniture, Storage Furniture, Modular Furniture, Kids Furniture, Dining Room Furniture, Decorative Furniture, Home Office Furniture, Entertainment Units, Lighting Fixtures, Accent Pieces, Bookshelves, Wall Units
Tools	Hand Tools, Power Tools, Garden Tools, Workshop Tools, Tool Storage, Specialty Tools, Measuring Tools, Safety Gear, Tool Sets, Home Improvement Tools, Automotive Tools, Electrical Tools, Plumbing Tools, Painting Tools, DIY Kits
Farming	Tractors, Plows, Harvesters, Irrigation Systems, Seeds, Fertilizers, Soil Conditioners, Livestock Feed, Farm Tools, Storage Sheds, Greenhouses, Sprayers, Tillage Equipment, Seeders, Farm Machinery
Retail Services	Customer Service, Point of Sale Systems, Store Management, Inventory Management, Merchandising, Loss Prevention, Marketing Services, E-commerce Solutions, Store Design, Packaging Solutions
Specialty Stores	Bookstores, Music Stores, Craft Stores, Hobby Shops, Pet Stores, Antique Shops, Art Galleries, Electronics Stores, Wine Shops, Health Food Stores, Home Improvement Stores, Outdoor Gear Shops, Kitchenware Stores, Toy Stores, Furniture Stores
Food Service Equipment	Commercial Ovens, Refrigerators, Dishwashers, Coffee Makers, Cooking Ranges, Food Processors, Grills, Fryers, Sinks, Storage Containers, Catering Equipment, Food Warmers, Ice Makers, Beverage Dispensers, Food Scales
Beverage Supplies	Coffee Beans, Tea Leaves, Juice Concentrates, Soft Drink Syrups, Alcoholic Beverages, Beverage Dispensers, Ice Makers, Glassware, Drinkware, Bar Tools, Cocktail Ingredients, Beverage Napkins, Straws, Drink Mixes, Beverage Coolers
